Team,Name,Average Sofascore rating,Goals,Big chances missed,Succ. dribbles,Successful dribbles %,Total shots,Shots on target,Shots off target,Blocked shots,Goal conversion %,Penalties taken,Penalty goals,Penalty won,Shots from set piece,Free kick goals,Goals from inside the box,Goals from outside the box,Headed goals,Left foot goals,Right foot goals,Hit woodwork,Offsides,Penalty conversion,Set piece conversion %,Minutes played,Age
ENPPI,Abdelrahman Samir,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,23
Zamalek SC,Hossam Abdelmaguid,7.08,3,0,2,40,18,7,8,3,16.67,0,0,0,0,0,3,0,3,0,0,0,0,0,0,2488,22
Al-Mokawloon,Omar Fayed,7.03,0,0,19,82.61,8,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,20
Haras El Hedoud,Mohamed Reda,7,0,0,17,70.83,15,8,5,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1690,23
Pyramids FC,Mahmoud Ooka,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,21
Al-Masry,Adnan Osman,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,20
Al Ahly FC,Mostafa Shobeir,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,23
Al-Mokawloon,Ahmed Eid,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,23
Pyramids FC,Mohamed Hamdi,6.92,2,2,7,33.33,21,4,13,4,9.52,0,0,0,0,0,2,0,1,1,0,1,10,0,0,2481,21
Al-Mokawloon,Ahmed Atef,6.91,0,0,30,53.57,17,6,5,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1559,21
Al-Ittihad Alexandria,Omar Fathy,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18
Ismaily,Abdallah El Saeed,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,22
Haras El Hedoud,Islam Abdallah,6.88,1,0,1,20,3,1,1,1,33.33,0,0,0,0,0,1,0,0,0,1,0,0,0,0,893,23
El Dakhlya,Funom Alfred,6.87,2,0,3,75,3,2,1,0,66.67,0,0,0,0,0,2,0,0,0,2,0,1,0,0,386,22
Tala'ea El-Gaish,Mohamed Shehata,6.86,1,0,11,61.11,24,8,12,4,4.17,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1276,23
Modern Future FC,Mohamed Reda,6.85,4,2,40,48.19,36,12,19,5,11.11,4,2,1,2,0,3,1,0,0,4,2,0,50,0,1938,23
Smouha,Yehia Yasser,6.85,0,0,2,50,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,21
Al Ahly FC,Karim Eldbees,6.83,0,0,3,75,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,20
Ismaily,Marwan Hamdi,6.8,0,0,2,33.33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,22
El Dakhlya,Rasheed Ahmed,6.79,5,6,7,36.84,42,11,23,8,11.9,0,0,3,0,0,5,0,1,0,4,2,12,0,0,1246,23
ENPPI,Emad Mayhoub,6.79,0,0,1,6.25,13,5,6,2,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,492,23
Ismaily,Mohamed Bayoumi,6.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,23
Modern Future FC,Ahmed Atef,6.77,4,1,7,30.43,20,8,10,2,20,0,0,1,0,0,4,0,0,1,3,1,12,0,0,927,21
Zamalek SC,Hatem Mohamed,6.74,0,0,9,52.94,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,22
Al-Mokawloon,Ahmed Fawzi,6.73,0,0,5,62.5,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,616,21
ENPPI,Ahmed Eid,6.73,0,0,6,46.15,6,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,748,23
Al-Masry,Ziad Kamal,6.73,0,0,3,37.5,5,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,497,23
Al Ahly FC,Mohamed Ashraf,6.71,0,0,4,50,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,413,22
Zamalek SC,Mohamed Tarek,6.71,0,0,5,71.43,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,21
ENPPI,Mohamed Hamdi,6.7,0,0,21,48.84,14,3,6,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1796,21
Pyramids FC,Ibrahim Adel,6.7,4,5,14,28,39,13,15,11,10.26,0,0,0,0,0,3,1,0,2,2,1,6,0,0,1202,22
